New Jersey,NJ,Allamuchy-Panther Valley,,,,,,,,,0,0,,,,,,,,,,,,,,
New Jersey,NJ,Absecon,,,,,,,,8205###8201,39.42845,-74.4957,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Allendale,,,,,,,,7401,41.04149,-74.129,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Alloway,,,,,,,,8001,39.55908,-75.3506,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Alpha,,,,,,,,,0,0,,,,,,,,,,,,,,
New Jersey,NJ,Alpine,,,,,,,,7620,40.95898,-73.9279,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Annandale,,,,,,,,8801,40.63101,-74.8907,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Asbury Park,,,,,,,,7712,40.25073,-74.0486,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Ashland,,,,,,,,,0,0,,,,,,,,,,,,,,
New Jersey,NJ,Atlantic City,,,,,,,,8405###8404###8401,39.3773,-74.4511,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Atsion,,,,,,,,,0,0,,,,,,,,,,,,,,
New Jersey,NJ,Audubon,,,,,,,,8106,39.89095,-75.073,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Avenel,,,,,,,,7001,40.58285,-74.2752,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Barclay-Kingston,,,,,,,,,40.3871,-74.6189,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Barrington,,,,,,,,8007,39.86381,-75.0538,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Basking Ridge,,,,,,,,7920,40.68265,-74.573,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Bass River State Forest,,,,,,,,,0,0,,,,,,,,,,,,,,
New Jersey,NJ,Bayonne,,,,,,,,7002,40.67086,-74.1095,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Beachwood,,,,,,,,8722,39.92752,-74.1986,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Beckett,,,,,,,,,40.87477,-74.0305,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Belle Mead,,,,,,,,8502,40.4615,-74.6483,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Belleville,,,,,,,,7109,40.79493,-74.1619,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Bellmawr,,,,,,,,8031###8099,39.86636,-75.0947,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Belvidere,,,,,,,,7823,40.81977,-75.031,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Bergenfield,,,,,,,,7621,40.9235,-73.9983,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Berkeley Heights,,,,,,,,7922,40.67545,-74.4222,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Berlin,,,,,,,,8009,39.76123,-74.927,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Bernardsville,,,,,,,,7924,40.72575,-74.5936,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Bloomfield,,,,,,,,7003,40.80855,-74.187,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Bloomingdale,,,,,,,,7403,41.02341,-74.3344,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Bogota,,,,,,,,7603,40.87477,-74.0305,America/New_York,EST,-5,,,,,,,,,,,
New Jersey,NJ,Boonton,,,,,,,,7005,40.91865,-74.4307,America/New_York,EST,-5,,,,,,,,,,,
